gamma,state,value,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,s0,1.2539775684413355,1,10,20,exact
0.0,s2,0.8635388688846058,2,10,20,exact
0.0,s1,0.43090870574538526,3,10,20,exact
0.0,s3,0.28366643579655987,4,10,20,exact
0.25,s0,1.511054827407191,1,10,20,exact
0.25,s2,1.0579637955492127,2,10,20,exact
0.25,s1,0.6121588680647313,3,10,20,exact
0.25,s3,0.5129269591432662,4,10,20,exact
0.5,s0,1.9825569779044667,1,10,20,exact
0.5,s2,1.4616049340245143,2,10,20,exact
0.5,s1,1.0041720787487267,3,10,20,exact
0.5,s3,0.9631318296600019,4,10,20,exact
0.75,s0,3.172137476940356,1,10,20,exact
0.75,s2,2.579518494412943,2,10,20,exact
0.75,s3,2.140535634299554,3,10,20,exact
0.75,s1,2.112562847617433,4,10,20,exact
1.0,s0,7.237416417837239,1,10,20,exact
1.0,s2,6.571653211766521,2,10,20,exact
1.0,s3,6.205556055922816,3,10,20,exact
1.0,s1,6.097757324711141,4,10,20,exact
