gamma,state,value,rank_within_gamma,method
0.0,Computer,2.8,1,exact_infinite
0.0,Coffee,2.1,2,exact_infinite
0.0,Home,1.0,3,exact_infinite
0.0,Chat,0.3,4,exact_infinite
0.05,Computer,2.906825699279282,1,exact_infinite
0.05,Coffee,2.1529402532134716,2,exact_infinite
0.05,Home,1.0753183557363601,3,exact_infinite
0.05,Chat,0.3744941415603322,4,exact_infinite
0.1,Computer,3.02319315046619,1,exact_infinite
0.1,Coffee,2.214662310163813,2,exact_infinite
0.1,Home,1.1580707366027156,3,exact_infinite
0.1,Chat,0.45788320075501254,4,exact_infinite
0.15000000000000002,Computer,3.1506696977479556,1,exact_infinite
0.15000000000000002,Coffee,2.2867567922402765,2,exact_infinite
0.15000000000000002,Home,1.249676272015842,3,exact_infinite
0.15000000000000002,Chat,0.5517652326117473,4,exact_infinite
0.2,Computer,3.2912091981263076,1,exact_infinite
0.2,Coffee,2.371211419895947,2,exact_infinite
0.2,Home,1.3519283108996318,3,exact_infinite
0.2,Chat,0.6581344540926848,4,exact_infinite
0.25,Computer,3.4472811995039643,1,exact_infinite
0.25,Coffee,2.4705422569614077,2,exact_infinite
0.25,Home,1.4671226184660482,3,exact_infinite
0.25,Chat,0.7795122317838488,4,exact_infinite
0.30000000000000004,Computer,3.622055693264332,1,exact_infinite
0.30000000000000004,Coffee,2.5879809003069063,2,exact_infinite
0.30000000000000004,Home,1.5982411073619864,3,exact_infinite
0.30000000000000004,Chat,0.9191339604849463,4,exact_infinite
0.35000000000000003,Computer,3.8196734300305897,1,exact_infinite
0.35000000000000003,Coffee,2.7277476678607186,2,exact_infinite
0.35000000000000003,Home,1.749221105696836,3,exact_infinite
0.35000000000000003,Chat,1.0812218750344997,4,exact_infinite
0.4,Computer,4.045651796563097,1,exact_infinite
0.4,Coffee,2.89546085749002,2,exact_infinite
0.4,Home,1.9253601805242146,3,exact_infinite
0.4,Chat,1.2713938552334667,4,exact_infinite
0.45,Computer,4.307512636326971,1,exact_infinite
0.45,Coffee,3.098768545177354,2,exact_infinite
0.45,Home,2.1339429289478407,3,exact_infinite
0.45,Chat,1.497294677380778,4,exact_infinite
0.5,Computer,4.615787532275912,1,exact_infinite
0.5,Coffee,3.3483585392843973,2,exact_infinite
0.5,Home,2.3852452969383995,3,exact_infinite
0.5,Chat,1.769605311693102,4,exact_infinite
0.55,Computer,4.985694349359818,1,exact_infinite
0.55,Coffee,3.6596403996803364,2,exact_infinite
0.55,Home,2.6942102804920514,3,exact_infinite
0.55,Chat,2.103724153943734,4,exact_infinite
0.6000000000000001,Computer,5.440072686032427,1,exact_infinite
0.6000000000000001,Coffee,4.05568729540944,2,exact_infinite
0.6000000000000001,Home,3.0833827357785406,3,exact_infinite
0.6000000000000001,Chat,2.5227079413356712,4,exact_infinite
0.65,Computer,6.014837556733259,1,exact_infinite
0.65,Coffee,4.572697159534073,2,exact_infinite
0.65,Home,3.588362723735835,3,exact_infinite
0.65,Chat,3.0627317841517256,4,exact_infinite
0.7000000000000001,Computer,6.769889823597733,1,exact_infinite
0.7000000000000001,Coffee,5.270911805925735,2,exact_infinite
0.7000000000000001,Home,4.268716044240011,3,exact_infinite
0.7000000000000001,Chat,3.784006947361735,4,exact_infinite
0.75,Computer,7.813123663062958,1,exact_infinite
0.75,Coffee,6.258634445279528,2,exact_infinite
0.75,Home,5.231982424697924,3,exact_infinite
0.75,Chat,4.794796785569752,4,exact_infinite
0.8,Computer,9.360452117749348,1,exact_infinite
0.8,Coffee,7.752266799155385,2,exact_infinite
0.8,Home,6.693702645634085,3,exact_infinite
0.8,Chat,6.311451993541176,4,exact_infinite
0.8500000000000001,Computer,11.915894863230204,1,exact_infinite
0.8500000000000001,Coffee,10.256410073543986,2,exact_infinite
0.8500000000000001,Home,9.157509030622359,3,exact_infinite
0.8500000000000001,Chat,8.838509395871618,4,exact_infinite
0.9,Computer,16.99194926322912,1,exact_infinite
0.9,Coffee,15.2842509603073,2,exact_infinite
0.9,Home,14.135500751544848,3,exact_infinite
0.9,Chat,13.88907540714032,4,exact_infinite
0.9500000000000001,Computer,32.15223516126845,1,exact_infinite
0.9500000000000001,Coffee,30.400223141784632,2,exact_infinite
0.9500000000000001,Home,29.190894869484104,3,exact_infinite
0.9500000000000001,Chat,29.02748460552494,4,exact_infinite
